Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
234,0.8999,0.9086,0.9828,0.9812,0.8377,0.1744,0.3123
235,0.9001,0.9087,0.9828,0.9812,0.8379,0.1741,0.3120
236,0.9003,0.9088,0.9828,0.9812,0.8381,0.1738,0.3117
237,0.9005,0.9089,0.9828,0.9812,0.8382,0.1736,0.3113
238,0.9007,0.9090,0.9828,0.9812,0.8384,0.1733,0.3110
239,0.9009,0.9090,0.9828,0.9812,0.8386,0.1730,0.3107
240,0.9011,0.9091,0.9828,0.9812,0.8388,0.1728,0.3104
241,0.9012,0.9092,0.9828,0.9812,0.8390,0.1725,0.3101
242,0.9014,0.9093,0.9828,0.9812,0.8391,0.1723,0.3097
243,0.9016,0.9094,0.9828,0.9812,0.8393,0.1720,0.3094
244,0.9018,0.9095,0.9828,0.9812,0.8395,0.1718,0.3091
245,0.9020,0.9096,0.9828,0.9812,0.8396,0.1715,0.3088
246,0.9021,0.9096,0.9828,0.9812,0.8398,0.1713,0.3085
247,0.9023,0.9097,0.9828,0.9812,0.8399,0.1710,0.3082
248,0.9025,0.9098,0.9828,0.9812,0.8401,0.1708,0.3078
249,0.9026,0.9099,0.9828,0.9812,0.8402,0.1706,0.3075
250,0.9028,0.9099,0.9828,0.9812,0.8404,0.1703,0.3072
251,0.9030,0.9100,0.9828,0.9812,0.8405,0.1701,0.3069
252,0.9031,0.9101,0.9828,0.9812,0.8406,0.1699,0.3066
253,0.9033,0.9101,0.9828,0.9812,0.8408,0.1697,0.3063
254,0.9035,0.9102,0.9828,0.9812,0.8409,0.1695,0.3060
255,0.9036,0.9102,0.9828,0.9812,0.8411,0.1693,0.3057
256,0.9038,0.9103,0.9828,0.9812,0.8412,0.1690,0.3054
257,0.9039,0.9104,0.9828,0.9812,0.8414,0.1688,0.3051
258,0.9041,0.9104,0.9828,0.9812,0.8415,0.1686,0.3049
259,0.9043,0.9105,0.9828,0.9812,0.8416,0.1684,0.3046
260,0.9044,0.9105,0.9828,0.9812,0.8418,0.1682,0.3043
261,0.9046,0.9106,0.9828,0.9812,0.8419,0.1680,0.3040
262,0.9047,0.9106,0.9828,0.9812,0.8420,0.1678,0.3038
263,0.9049,0.9107,0.9828,0.9812,0.8421,0.1676,0.3035
264,0.9050,0.9108,0.9828,0.9812,0.8423,0.1674,0.3032
265,0.9052,0.9108,0.9828,0.9812,0.8424,0.1672,0.3029
266,0.9053,0.9109,0.9828,0.9812,0.8425,0.1671,0.3027
267,0.9055,0.9109,0.9844,0.9812,0.8426,0.1669,0.3024
268,0.9056,0.9110,0.9859,0.9812,0.8427,0.1667,0.3021
269,0.9058,0.9110,0.9859,0.9812,0.8429,0.1665,0.3019
270,0.9059,0.9111,0.9859,0.9812,0.8430,0.1663,0.3016
271,0.9061,0.9111,0.9859,0.9812,0.8431,0.1661,0.3013
272,0.9062,0.9112,0.9859,0.9812,0.8433,0.1659,0.3011
273,0.9064,0.9112,0.9859,0.9812,0.8434,0.1657,0.3008
274,0.9065,0.9113,0.9859,0.9812,0.8436,0.1656,0.3006
275,0.9066,0.9113,0.9859,0.9812,0.8437,0.1654,0.3003
276,0.9068,0.9114,0.9859,0.9812,0.8438,0.1652,0.3001
277,0.9069,0.9114,0.9859,0.9812,0.8440,0.1650,0.2998
278,0.9071,0.9115,0.9859,0.9812,0.8441,0.1649,0.2996
279,0.9072,0.9115,0.9859,0.9812,0.8442,0.1647,0.2994
280,0.9073,0.9116,0.9859,0.9812,0.8443,0.1645,0.2991
281,0.9075,0.9116,0.9859,0.9812,0.8445,0.1643,0.2989
282,0.9076,0.9116,0.9859,0.9812,0.8446,0.1642,0.2987
283,0.9077,0.9117,0.9859,0.9812,0.8447,0.1640,0.2984
284,0.9079,0.9117,0.9859,0.9812,0.8448,0.1638,0.2982
285,0.9080,0.9118,0.9859,0.9812,0.8449,0.1637,0.2980
286,0.9081,0.9118,0.9859,0.9812,0.8450,0.1635,0.2977
287,0.9083,0.9119,0.9859,0.9812,0.8451,0.1633,0.2975
288,0.9084,0.9119,0.9859,0.9812,0.8453,0.1632,0.2973
289,0.9085,0.9119,0.9859,0.9812,0.8454,0.1630,0.2971
290,0.9087,0.9120,0.9859,0.9812,0.8455,0.1629,0.2969
291,0.9088,0.9120,0.9859,0.9812,0.8456,0.1627,0.2966
292,0.9089,0.9120,0.9859,0.9812,0.8457,0.1626,0.2964
293,0.9090,0.9121,0.9859,0.9812,0.8458,0.1624,0.2962
294,0.9092,0.9121,0.9859,0.9812,0.8459,0.1622,0.2960
295,0.9093,0.9122,0.9859,0.9812,0.8460,0.1621,0.2958
296,0.9094,0.9122,0.9859,0.9812,0.8461,0.1619,0.2956
297,0.9095,0.9122,0.9859,0.9812,0.8462,0.1618,0.2954
298,0.9097,0.9123,0.9859,0.9812,0.8463,0.1616,0.2952
299,0.9098,0.9123,0.9859,0.9812,0.8464,0.1615,0.2950
300,0.9099,0.9124,0.9859,0.9812,0.8465,0.1613,0.2948
301,0.9100,0.9124,0.9859,0.9812,0.8465,0.1612,0.2946
302,0.9101,0.9124,0.9859,0.9812,0.8466,0.1610,0.2944
303,0.9103,0.9125,0.9859,0.9812,0.8467,0.1609,0.2942
304,0.9104,0.9125,0.9859,0.9812,0.8468,0.1607,0.2940
305,0.9105,0.9126,0.9859,0.9812,0.8469,0.1606,0.2938
306,0.9106,0.9126,0.9859,0.9812,0.8470,0.1604,0.2936
307,0.9107,0.9127,0.9859,0.9812,0.8470,0.1603,0.2934
308,0.9108,0.9127,0.9859,0.9812,0.8471,0.1601,0.2932
309,0.9110,0.9127,0.9859,0.9812,0.8472,0.1600,0.2930
310,0.9111,0.9128,0.9859,0.9812,0.8473,0.1598,0.2928
311,0.9112,0.9128,0.9859,0.9812,0.8473,0.1597,0.2927
312,0.9113,0.9128,0.9859,0.9812,0.8474,0.1596,0.2925
313,0.9114,0.9129,0.9859,0.9812,0.8475,0.1594,0.2923
314,0.9115,0.9129,0.9859,0.9812,0.8475,0.1593,0.2921
315,0.9116,0.9130,0.9859,0.9750,0.8476,0.1591,0.2919
316,0.9117,0.9130,0.9859,0.9750,0.8476,0.1590,0.2917
317,0.9119,0.9131,0.9859,0.9750,0.8477,0.1589,0.2916
318,0.9120,0.9131,0.9859,0.9750,0.8477,0.1587,0.2914
319,0.9121,0.9131,0.9859,0.9750,0.8478,0.1586,0.2912
320,0.9122,0.9132,0.9859,0.9750,0.8478,0.1584,0.2910
321,0.9123,0.9132,0.9859,0.9750,0.8479,0.1583,0.2908
322,0.9124,0.9132,0.9859,0.9750,0.8479,0.1582,0.2907
323,0.9125,0.9133,0.9859,0.9750,0.8480,0.1580,0.2905
324,0.9126,0.9133,0.9859,0.9750,0.8480,0.1579,0.2903
