Epoch,train_sat,test_sat,train_accuracy,test_accuracy
535,0.7107,0.6168,0.9200,0.7000
536,0.7111,0.6170,0.9200,0.7000
537,0.7114,0.6172,0.9200,0.7000
538,0.7117,0.6174,0.9200,0.7000
539,0.7120,0.6175,0.9200,0.7000
540,0.7123,0.6177,0.9200,0.7000
541,0.7126,0.6179,0.9200,0.7000
542,0.7130,0.6181,0.9200,0.7000
543,0.7133,0.6182,0.9200,0.7000
544,0.7136,0.6184,0.9200,0.7000
545,0.7139,0.6186,0.9200,0.7000
546,0.7142,0.6188,0.9200,0.7000
547,0.7145,0.6189,0.9200,0.7000
548,0.7149,0.6191,0.9200,0.7000
549,0.7152,0.6193,0.9200,0.7000
550,0.7155,0.6195,0.9200,0.7000
551,0.7158,0.6196,0.9200,0.7000
552,0.7161,0.6198,0.9200,0.7000
553,0.7165,0.6200,0.9200,0.7000
554,0.7168,0.6202,0.9200,0.7000
555,0.7171,0.6204,0.9200,0.7000
556,0.7174,0.6206,0.9200,0.7000
557,0.7178,0.6207,0.9200,0.7000
558,0.7181,0.6209,0.9200,0.7000
559,0.7184,0.6211,0.9200,0.7000
560,0.7188,0.6213,0.9200,0.7000
561,0.7191,0.6215,0.9200,0.7000
562,0.7194,0.6217,0.9200,0.7000
563,0.7198,0.6219,0.9200,0.7000
564,0.7201,0.6221,0.9200,0.7000
565,0.7204,0.6224,0.9200,0.7000
566,0.7208,0.6226,0.9200,0.7000
567,0.7211,0.6228,0.9200,0.7000
568,0.7215,0.6230,0.9200,0.7000
569,0.7218,0.6232,0.9200,0.7000
570,0.7221,0.6235,0.9200,0.7000
571,0.7225,0.6237,0.9200,0.7000
572,0.7228,0.6240,0.9200,0.7000
573,0.7232,0.6242,0.9200,0.7000
574,0.7235,0.6244,0.9200,0.7000
575,0.7239,0.6247,0.9200,0.7000
576,0.7242,0.6250,0.9200,0.7000
577,0.7246,0.6252,0.9200,0.7000
578,0.7249,0.6255,0.9200,0.7000
579,0.7253,0.6258,0.9200,0.7000
580,0.7257,0.6260,0.9200,0.7000
581,0.7260,0.6263,0.9200,0.7000
582,0.7264,0.6266,0.9200,0.7000
583,0.7267,0.6269,0.9200,0.7000
584,0.7271,0.6272,0.9200,0.7000
585,0.7275,0.6275,0.9200,0.7000
586,0.7278,0.6278,0.9200,0.7000
587,0.7282,0.6281,0.9200,0.7000
588,0.7286,0.6284,0.9200,0.7000
589,0.7290,0.6288,0.9200,0.7000
590,0.7293,0.6291,0.9200,0.7000
591,0.7297,0.6294,0.9200,0.7000
592,0.7301,0.6298,0.9200,0.7000
593,0.7305,0.6301,0.9200,0.7000
594,0.7309,0.6305,0.9200,0.7000
595,0.7313,0.6308,0.9200,0.7000
596,0.7317,0.6312,0.9200,0.7000
597,0.7320,0.6316,0.9200,0.7000
598,0.7324,0.6319,0.9200,0.7000
599,0.7328,0.6323,0.9200,0.7000
600,0.7332,0.6327,0.9200,0.7000
601,0.7336,0.6331,0.9200,0.7000
602,0.7340,0.6335,0.9200,0.7000
603,0.7345,0.6339,0.9200,0.7000
604,0.7349,0.6343,0.9200,0.7000
605,0.7353,0.6347,0.9200,0.7000
606,0.7357,0.6351,0.9200,0.7000
607,0.7361,0.6356,0.9400,0.7000
608,0.7365,0.6360,0.9400,0.7000
609,0.7370,0.6364,0.9400,0.7000
610,0.7374,0.6369,0.9400,0.7000
611,0.7378,0.6373,0.9400,0.7000
612,0.7382,0.6378,0.9400,0.7000
613,0.7387,0.6382,0.9400,0.7000
614,0.7391,0.6387,0.9400,0.7000
615,0.7395,0.6392,0.9400,0.7000
616,0.7400,0.6397,0.9400,0.7000
617,0.7404,0.6402,0.9400,0.7000
618,0.7409,0.6407,0.9400,0.7000
619,0.7413,0.6412,0.9400,0.7000
620,0.7418,0.6417,0.9400,0.7000
621,0.7423,0.6422,0.9400,0.7000
622,0.7427,0.6428,0.9400,0.7000
623,0.7432,0.6433,0.9400,0.7000
624,0.7437,0.6439,0.9400,0.7000
625,0.7441,0.6444,0.9400,0.7000
626,0.7446,0.6450,0.9400,0.7000
627,0.7451,0.6456,0.9400,0.7000
628,0.7456,0.6462,0.9400,0.7000
